sura,aya,text
2,18,"அவர்கள் செவிடர்களாய், ஊமையர்களாய், குருடர்களாய் இருக்கின்றனர். எனவே, இப்பொழுது அவர்கள் மீள மாட்டார்கள்;"
2,19,"அல்லது இவர்களுடைய உவமானம், இவ்வாறு இருக்கிறது: வானத்திலிருந்து கடும் மழை பொழிந்து கொண்டிருக்கிறது; அத்துடன் காரிருளும் இடியும் மின்னலும் உள்ளன. (அதில் மாட்டிக் கொண்டவர்கள்) இடி முழக்கங்களைக் கேட்டு மரணத்திற்கு அஞ்சி தம் காதுகளில் விரல்களைத் திணித்துக் கொள்கின்றார்கள். மேலும் (சத்தியத்தை) நிராகரிக்கும் இத்தகையோரை அல்லாஹ் எல்லாப் பக்கங்களிலிருந்தும் சூழ்ந்து கொண்டிருக்கின்றான்."
2,20,"அவர்களுடைய பார்வைகளைப் பறிப்பது போல் (பயங்கரமாக) மின்னல் வெட்டுகிறது. அவர்களுக்கு அது (கொஞ்சம்) ஒளிதரும் போதெல்லாம் அதில் (சிறிது தூரம்) அவர்கள் நடந்து செல்கின்றார்கள். மேலும், இருள் அவர்களைச் சூழ்ந்து கொள்ளும்போது நின்று விடுகிறார்கள். இன்னும் அல்லாஹ் நாடினால் அவர்களுடைய கேள்விப் புலன்களையும், பார்வைப் புலன்களையும் முழுமையாகப் பறித்திருப்பான். நிச்சயமாக அல்லாஹ் எல்லாவற்றின் மீதும் பேராற்றல் உடையவனாய் இருக்கின்றான்."
2,21,மனிதர்களே! உங்களையும் உங்களுக்கு முன்னிருந் தோரையும் படைத்த உங்கள் இறைவனுக்கே அடிபணியுங்கள்! (அவ்வாறு செய்வதனால் மட்டுமே) நீங்கள் உங்களைக் காப்பாற்றிக் கொள்ள முடியும்.
2,22,"அவனே உங்களுக்காகப் பூமியை விரிப்பாகவும் வானத்தை முகடாகவும் ஆக்கினான். அவனே மேலிருந்து மழையைப் பொழியச் செய்து அதைக் கொண்டு உங்கள் உணவுக்காக விளைபொருள்கள் அனைத்தையும் வெளிப்படுத்துகிறான். எனவே, (இவற்றை எல்லாம்) நீங்கள் அறிந்திருந்தும் அல்லாஹ்விற்கு இணைகளை ஏற்படுத்தாதீர்கள்."
2,23,"நாம் நம் அடியார் மீது இறக்கியுள்ள இ(வ்வேதத்)தைப் பற்றி (இது நம்மால் அருளப்பட்டதா, இல்லையா எனும்) சந்தேகத்தில் நீங்கள் இருப்பீர்களானால், இதைப் போன்ற ஒரே ஓர் அத்தியாயத்தையேனும் (உருவாக்கிக்) கொண்டு வாருங்கள்! (இதற்காக) அல்லாஹ்வைத் தவிர உங்களுக்குத் துணை புரிபவர்கள் அனைவரையும் அழைத்துக் கொள்ளுங்கள்; நீங்கள் உண்மையானவர்களாய் இருப்பின் (இதனைச் செய்து காட்டுங்கள்)!"
2,24,"நீங்கள் அப்படிச் செய்யாவிட்டால், நிச்சயமாக உங்களால் ஒருபோதும் அவ்வாறு செய்ய முடியாது; மனிதர்களையும் கற்களையும் எரிபொருளாகக் கொண்டதும், (சத்தியத்தை) நிராகரிப்பவர்களுக்காகத் தயார் செய்யப்பட்டதுமான நரக நெருப்புக்கு அஞ்சுங்கள்!"
2,25,"மேலும், (நபியே! இவ்வேதத்தில்) நம்பிக்கை கொண்டு (அதன் அறிவுரைகளுக்கேற்ப) நற்செயல்கள் புரிவோர்க்கு, கீழே ஆறுகள் ஓடிக்கொண்டிருக்கும் சுவனங்கள் நிச்சயமாக உண்டு எனும் நற்செய்தியைக் கூறுவீராக! அந்தச் சுவனங்களில் ஏதேனும் ஒரு கனி அவர்களுக்கு உணவாக வழங்கப்படும் போதெல்லாம் அக்கனிகள் பூமியிலுள்ள கனிகளைப் போல் தோற்றத்தில் ஒத்திருப்பதால், ""இத்தகைய கனிதான் முன்பு (உலகில்) நமக்கு உணவாக வழங்கப்பட்டது"" என அவர்கள் கூறுவார்கள். இன்னும் அங்கு அவர்களுக்குத் தூய்மையான துணைகளும் உண்டு. மேலும், அங்கு அவர்கள் நிரந்தரமாக வாழ்வார்கள்."
2,26,"நிச்சயமாக, அல்லாஹ் கொசுவையோ அதைவிட அற்பமானதையோ உவமானமாகக் காட்டுவதற்கு வெட்கப்படுவதில்லை. நம்பிக்கை கொண்டவர்களோ நிச்சயமாகத் தம் இறைவனிடமிருந்து வந்த சத்தியமே இது என்று புரிந்து கொள்வார்கள். ஆனால், நிராகரிப்போரோ ""இத்தகைய (அற்ப) உதாரணங்களைக் கொண்டு அல்லாஹ் எதை நாடுகின்றான்?"" எனக் கூறுவார்கள். (இவ்வாறாக) ஒரே விஷயத்தைக் கொண்டு அல்லாஹ் பலரை வழிகேட்டில் ஆழ்த்துகின்றான்; மேலும் அதனைக் கொண்டு பலருக்கு நேர்வழியும் காட்டுகின்றான். ஆனால் கீழ்ப்படியாதவர்களைத் தவிர வேறு எவரையும் இதனைக் கொண்டு அவன் வழிகேட்டில் ஆழ்த்துவதில்லை."
2,27,"அவர்கள் எத்தகையவர்கள் எனில், அல்லாஹ்வுடன் உறுதியான உடன்பாடு செய்துகொண்ட பின்னர் அதை முறித்து விடுவார்கள். மேலும், எந்த உறவு முறைகள் இணைத்து வைக்கப்பட வேண்டும் என்று அல்லாஹ் கட்டளையிட்டுள்ளானோ அவற்றைத் துண்டிப்பார்கள். மேலும், பூமியில் குழப்பம் செய்து கொண்டு திரிவார்கள். (உண்மையில்) இத்தகையோரே இழப்புக்குரியவர்களாவர்."
2,28,அல்லாஹ்வை நிராகரிக்கும் போக்கினை எவ்வாறு நீங்கள் மேற்கொள்கின்றீர்கள்? (உண்மை யாதெனில்) நீங்கள் உயிரற்றவர்களாய் இருந்தீர்கள். அவனே உங்களுக்கு உயிரூட்டினான். பின்னர் அவனே உங்களை மரிக்கச் செய்வான். பின்னர் (மீண்டும்) அவனே உங்களுக்கு உயிர் கொடுப்பான். பின்னர் அவனிடமே நீங்கள் மீட்கப்படுவீர்கள்.
2,29,"அவனே பூமியிலுள்ள அனைத்தையும் உங்களுக்காகப் படைத்தான். பின்னர் வானங்களைப் படைக்கக் கருதி அவற்றை ஏழு வானங்களாக அமைத்தான். மேலும் அவன், ஒவ்வொரு பொருளையும் நன்கறிந்தவனாக இருக்கின்றான்."
2,30,"அந்த நேரத்தை நினைவுகூரும். உம் இறைவன், மலக்கு (வானவர்)களை நோக்கி, ""நான் ஒரு பிரதிநிதியை (கலீஃபாவை) பூமியில் ஏற்படுத்தப் போகின்றேன்"" என்று கூறினான். (அப்போது) அவர்கள், ""பூமியில், அதன் ஒழுங்கமைப்பைச் சீர்குலைத்து, மேலும் இரத்தஞ் சிந்தக் கூடியவரையா அதில் (பிரதிநிதியாக) நீ ஏற்படுத்தப் போகின்றாய்? நாங்கள்தாம் உன்னைப் புகழ்ந்து துதிபாடி, உன் தூய்மையைப் போற்றிக் கொண்டு இருக்கின்றோமே!"" என வினவினார்கள். அதற்கு இறைவன் கூறினான்: ""நீங்கள் அறியாதவற்றையெல்லாம் நிச்சயமாக நான் அறிவேன்."""
2,31,"பின்னர் அல்லாஹ் எல்லாப் பொருள்களின் பெயர்களையும் ஆதத்துக்குக் கற்றுக் கொடுத்தான். பிறகு அவற்றை வானவர்களின் முன் வைத்து ""(ஒரு பிரதிநிதியை நியமித்தால் பூமியில் ஒழுங்கமைப்பு சீர்குலையும் எனும்) உங்கள் கருத்து சரியானால், இவற்றின் பெயர்களைச் சற்று சொல்லுங்கள்"" எனக் கூறினான்."
2,32,"""குறை ஏதுமில்லாத தூயவன் நீயே! நீ எங்களுக்குக் கற்றுக் கொடுத்ததைத் தவிர வேறு எதுவும் எங்களுக்குத் தெரியாது. உண்மையில் நீ மட்டுமே பேரறிவும் மிக்க ஞானமும் உடையவன்!"" என்று அவர்கள் கூறினார்கள்."
2,33,"(பின்னர்) இறைவன் கூறினான்: ""ஆதமே! இவற்றின் பெயர்களை நீர் அவர்களுக்கு அறிவியும்!"" அவர் அவற்றின் பெயர்களை அவர்களுக்கு அறிவித்ததும், ""வானங்களிலும், பூமியிலும் (உங்களுக்கு) மறைந்திருக்கக்கூடிய (உண்மைகள்) அனைத்தையும் நிச்சயமாக நான் நன்கறிவேன். மேலும் நீங்கள் வெளிப்படுத்தக்கூடியவற்றையும், மறைத்துக் கொண்டிருப்பவற்றையும் நான் நன்கறிவேன் என்று உங்களிடம் நான் கூறவில்லையா?"" எனக் கேட்டான்."
2,34,"பின்னர், ""நீங்கள் ஆதத்துக்குப் பணியுங்கள்!"" என்று வானவர்களுக்கு நாம் கட்டளையிட்டபோது அவர்கள் எல்லாரும் பணிந்தார்கள், இப்லீஸைத் தவிர! அவன் கட்டளையை மறுத்தான். மேலும் ஆணவம் கொண்டுவிட்டான்; நிராகரிப்பவர்களில் ஒருவனாகவும் ஆகிவிட்டான்."
2,35,"பிறகு ""ஆதமே! நீரும் உம் மனைவியும் சொர்க்கத்தில் வசியுங்கள். அங்கே நீங்கள் விரும்பியவாறு தாராளமாக உண்ணுங்கள். ஆனால் இந்த மரத்தின் அருகே நீங்கள் நெருங்காதீர்கள்; நெருங்கினால் அக்கிரமம் செய்தவர்களாவீர்கள்!"" என்று கட்டளையிட்டோம்."
2,36,"ஷைத்தான் அவ்விருவருக்கும் அம்மரத்தின் மீது ஆசை காட்டி, அவர்களை நம் கட்டளையிலிருந்து பிறழச் செய்து விட்டான். மேலும் அவ்விருவரும் எந்த நிலையில் வாழ்ந்து கொண்டிருந்தார்களோ அந்த நிலையிலிருந்து அவர்களை வெளியேற்றி விட்டான். மேலும் நாம் கட்டளையிட்டோம்: ""நீங்கள் எல்லாரும் (இங்கிருந்து) இறங்கி விடுங்கள்; நீங்கள் ஒருவருக்கொருவர் பகைவர்களாவீர்கள். இன்னும், உங்களுக்காகக் குறிப்பிட்ட ஒரு காலம் வரை பூமியில் தங்குமிடமும் இருக்கிறது; வாழ்க்கை வசதிகளும் இருக்கின்றன."""
2,37,"அப்போது, ஆதம் தம் இறைவனிடமிருந்து கற்ற சில சொற்களைக் கொண்டு அவனிடம் பாவமன்னிப்புக் கோரினார். அதனை அவருடைய இறைவன் ஏற்றுக் கொண்டான். நிச்சயமாக அவன் பாவமன்னிப்புக் கோரிக்கையை ஏற்பவனாகவும் கருணை பொழிபவனாகவும் இருக்கின்றான்."
2,38,"நாம் கூறினோம்: ""நீங்கள் அனைவரும் இங்கிருந்து இறங்கி விடுங்கள். பிறகு உங்களுக்கு என்னிடமிருந்து நேர்வழி கிடைக்கும்போது யார் எனது நேர்வழியைப் பின்பற்றுகிறார்களோ அவர்களுக்கு எவ்வித அச்சமும் இல்லை; அவர்கள் துயரப்படவும் மாட்டார்கள்."
2,39,"அன்றி யார் (அதை) ஏற்றுக்கொள்ள மறுத்து, எம்முடைய வசனங்களைப் பொய்யென்று கூறுகின்றார்களோ அவர்கள்தாம் நரகவாசிகளாவர்; அவர்கள் அதிலேயே என்றென்றும் வீழ்ந்து கிடப்பார்கள்!"""
2,40,"இஸ்ராயீலின் வழித்தோன்றல்களே! நான் உங்களுக்கு வழங்கியிருந்த என் அருட்கொடைகளை நீங்கள் நினைவுகூருங்கள்; மேலும், எனக்கு நீங்கள் தந்த வாக்குறுதியை நிறைவேற்றுங்கள்! (அவ்விதமாயின்) உங்களுக்குத் தந்த வாக்குறுதியை நானும் நிறைவேற்றுவேன். மேலும், எனக்கு மட்டுமே நீங்கள் அஞ்சுங்கள்!"
2,41,மேலும் நான் இறக்கியுள்ள இந்த வேதத்தின் மீது நம்பிக்கை கொள்ளுங்கள். இது (முன்பு) உங்களிடமிருந்த வேதத்தை மெய்ப்படுத்தக்கூடியதாக இருக்கின்றது. ஆகையால் நீங்களே அனைவருக்கும் முதலில் (இதனை) நிராகரிப்பவர்களாகி விடாதீர்கள். என்னுடைய திருவசனங்களைச் சொற்ப விலைக்கு விற்காதீர்கள். மேலும் எனக்கே அஞ்சுங்கள்!
2,42,அசத்தியத்தைக் கொண்டு சத்தியத்தைக் குழப்பி விடாதீர்கள். அறிந்துகொண்டே சத்தியத்தை நீங்கள் மூடி மறைக்காதீர்கள்.
2,43,தொழுகையை நீங்கள் நிலைநாட்டுங்கள்; ஜகாத்தும் கொடுத்து வாருங்கள்; இன்னும் என் முன்னிலையில் தலைசாய்ப்பவர்களுடன் சேர்ந்து நீங்களும் தலை சாயுங்கள்.
2,44,"பிற மனிதர்களை நன்மை செய்யும்படி நீங்கள் ஏவிவிட்டு, உங்களை நீங்கள் மறந்து விடுகின்றீர்களா? நீங்களோ வேதத்தை ஓதிக் கொண்டிருக்கின்றீர்கள். நீங்கள் சிறிதளவும் (இதைப் பற்றி) சிந்திப்பதில்லையா?"
2,45,"பொறுமை மற்றும் தொழுகையின் மூலம் நீங்கள் உதவி தேடுங்கள். திண்ணமாக, தொழுகை ஒரு பாரமான செயல்தான்; ஆனால் இறைவனுக்கு அஞ்சி வாழ்கின்ற அடியார்களுக்கு அது பாரமான செயலே அல்ல!"
2,46,"அவர்கள் எத்தகையோர் எனில் இறுதியில் தங்கள் இறைவனைச் சந்திப்பவர்களாய் இருக்கின்றோம் என்றும், அவனிடமே திரும்பிச் செல்ல வேண்டியிருக்கிறது என்றும் உறுதியாக நம்புகிறார்கள்."
2,47,இஸ்ராயீலின் வழித்தோன்றல்களே! நான் உங்களுக்கு வழங்கியிருந்த என் அருட்கொடையையும் உங்களை நான் உலகத்தோர் அனைவரிலும் மேன்மையாக்கி வைத்திருந்ததையும் நினைவுகூருங்கள்.
2,48,"மேலும் ஒரு நாளை நீங்கள் அஞ்சிக் கொள்ளுங்கள். (அந்நாளில்) எவரும் மற்றவர்க்கு எதையும் கொடுத்து உதவ முடியாது. எவரிடமிருந்தும் எந்தப் பரிந்துரையும் ஏற்றுக் கொள்ளப்படவும் மாட்டாது. எவரிடமிருந்தும் மீட்புப் பணம் பெறப்பட்டு, எவரும் விடுதலை செய்யப்படவும் மாட்டார்கள். (குற்றவாளிகளான) அவர்களுக்கு எந்த உதவியும் செய்யப்பட மாட்டாது."
2,49,"ஃபிர்அவ்னுடைய கூட்டத்தாரி(ன் அடிமைத் தளையி)லிருந்து நாம் உங்களுக்கு விடுதலை அளித்த சந்தர்ப்பத்தையும் நினைவு கூருங்கள்! அவர்கள் கொடிய வேதனையில் உங்களை ஆழ்த்தி வைத்திருந்தார்கள். உங்களுடைய ஆண் மக்களைக் கொன்றொழித்துக் கொண்டும், உங்களுடைய பெண் மக்களை உயிருடன் விட்டு வைத்துக் கொண்டும் இருந்தார்கள். இதன் மூலம் உங்கள் இறைவனிடமிருந்து உங்களுக்கு மாபெரும் சோதனை ஏற்பட்டிருந்தது."
2,50,"மேலும், நாம் உங்களுக்காகக் கடலைப் பிளந்(து வழி ஏற்படுத்தித்தந்)து, பின்னர் உங்களைக் காப்பாற்றி, நீங்கள் பார்த்துக் கொண்டிருக்கும் போதே ஃபிர்அவ்னின் கூட்டத்தாரை நாம் மூழ்கடித்ததையும் எண்ணிப் பாருங்கள்!"
2,51,"மேலும், இதையும் நினைவுகூருங்கள்: நாம் மூஸாவுக்கு நாற்பது இரவுபகல்களை வாக்களித்திருந்தோம்; ஆனால், அவர் சென்ற பிறகு நீங்கள் காளைக்கன்றை கடவுளாக ஆக்கிக் கொண்டீர்கள்! அப்போது நீங்கள் பெரும் அக்கிரமம் புரிந்தவர்களாக இருந்தீர்கள்."
2,52,அதன் பின்னரும் நீங்கள் நன்றியுடையோராய் இருக்கக்கூடும் என்பதற்காக நாம் உங்களை மன்னித்தோம்.
2,53,"(நீங்கள் இவ்வாறு அக்கிரமம் செய்து கொண்டிருந்த அதே நேரத்தில்) நீங்கள் நேர்வழி பெறும் பொருட்டு நாம் மூஸாவுக்கு வேதத்தையும், 'ஃபுர்கானை'யும் அருளியதை நினைவுகூருங்கள்."
2,54,"மேலும், இதையும் நினைவுகூருங்கள்: மூஸா, (இந்த அருட்கொடைகளைப் பெற்றுத் திரும்பி வந்து) தம் சமுதாயத்தார்களை நோக்கி, ""என்னுடைய சமுதாயத்தாரே! காளைக்கன்றை நீங்கள் தெய்வமாக்கிக் கொண்டதனால் திண்ணமாக உங்களுக்கு நீங்களே (பெரும்) அநீதி இழைத்துக் கொண்டீர்கள். ஆகவே, நீங்கள் உங்களைப் படைத்த இறைவனிடம் பாவமன்னிப்புக் கோருங்கள். மேலும் உங்கள் உயிர்களை மாய்த்துக்கொள்ளுங்கள். இதுவே உங்களைப் படைத்த இறைவனிடம் உங்களுக்கு நன்மை பயக்கும்"" என்று கூறினார். (அந்நேரத்தில்) உங்கள் இறைவன், உங்களின் பாவமன்னிப்புக் கோரிக்கையை ஏற்றுக்கொண்டான். நிச்சயமாக அவன் மிக்க மன்னிப்போனும் கருணை பொழிபவனுமாய் இருக்கின்றான்."
2,55,"""மூஸாவே! நாங்கள், அல்லாஹ்வை (உம்முடன் உரையாடும் நிலையில் எங்கள் கண்களால்) வெளிப்படையாகக் காணாத வரை உம் கூற்றை நாங்கள் ஒருபோதும் நம்பமாட்டோம்"" என்று நீங்கள் கூறியதை நினைவுகூருங்கள். அப்பொழுது, நீங்கள் பார்த்துக் கொண்டிருக்கும் நிலையிலேயே உங்களை ஒரு பேரிடி தாக்கிற்று! உடனே நீங்கள் மாண்டு வீழ்ந்துவிட்டீர்கள்."
2,56,அதன்பிறகும் நீங்கள் நன்றி செலுத்தும் பொருட்டு நாம் மீண்டும் உங்களை உயிர்ப்பித்து எழுப்பினோம்.
2,57,மேலும் நாம் உங்கள் மீது மேகத்தை நிழலிடும்படிச் செய்தோம். உங்களுக்கு மன்னுஸல்வா (எனும் உணவுகளை) இறக்கி வைத்தோம். நாம் உங்களுக்கு உணவாக அருளியுள்ள நல்ல பொருள்களைப் புசியுங்கள்(என்றும் உங்களிடம் கூறினோம்). எனினும் (உங்கள் மூதாதையர் வரம்பு மீறினார்கள்; அதன் மூலம்) அவர்கள் எமக்கு அநீதி இழைக்கவில்லை; மாறாக அவர்கள் தமக்குத் தாமே அநீதி இழைத்துக் கொண்டனர்.
2,58,"மேலும் ""(அருகிலிருக்கும்) இந்த ஊருக்குள் நுழையுங்கள். பிறகு அங்கு (கிடைப்பனவற்றை) நீங்கள் விரும்பியவாறு தாராளமாகப் புசியுங்கள். ஊருக்குள் நுழையும்போது அதன் தலைவாசலில், சிரம் தாழ்த்திய வண்ணமும் 'ஹித்தத்துன்' என்று சொல்லியவாறும் நுழையுங்கள்! உங்கள் குற்றங்களை நாம் மன்னிப்போம். மேலும் சிறந்த முறையில் நற்செயல்கள் புரிவோருக்கு விரைவில் அதிக நற்கூலி வழங்குவோம்"" என நாம் கூறியதையும் நினைவுகூருங்கள்."
2,59,"ஆனால் அந்த அக்கிரமக்காரர்கள் தமக்குக் கூறப்பட்ட சொல்லை வேறொன்றாக மாற்றிவிட்டார்கள். இறுதியில் அந்த அக்கிரமக்காரர்கள் மீது, விண்ணிலிருந்து வேதனையை நாம் இறக்கினோம். இறைக் கட்டளைக்கு அவர்கள் மாறு செய்ததினால் கிடைத்த தண்டனையாகும் இது."
2,60,"இன்னும், மூஸா தம் சமுதாயத்தினருக்காக தண்ணீர் கோரிப் பிரார்த்தித்ததையும் நினைவுகூருங்கள். அப்போது ""உம்முடைய கைத்தடியைக் கொண்டு இந்தக் கல்லின் மீது அடிப்பீராக!"" என்று நாம் கூறினோம். (அவர் அவ்வாறு அடித்ததும்) அதிலிருந்து பன்னிரண்டு ஊற்றுகள் பொங்கி எழுந்தன. ஒவ்வொரு கூட்டத்தாரும் (அவ்வூற்றுகளிலிருந்து) தாம் தண்ணீர் அருந்த வேண்டிய பகுதியை அறிந்து கொண்டனர். (அப்பொழுது நாம் அறிவுறுத்தினோம்:) ""அல்லாஹ் அருளிய உணவை உண்ணுங்கள்; பருகுங்கள். ஆனால் பூமியில் குழப்பம் செய்து கொண்டு திரியாதீர்கள்!"""
2,61,"மேலும், நீங்கள் (மூஸாவை நோக்கி) இவ்வாறு கூறியதை நினைவுகூருங்கள்: ""மூஸாவே! நாங்கள் ஒரே வகையான உணவைக் கொண்டு பொறுமையாய் இருக்க முடியாது; எனவே, பூமி விளைவிக்கின்ற கீரை, வெள்ளரிக்காய், கோதுமை, பூண்டு, பருப்பு, வெங்காயம் ஆகியவற்றை எங்களுக்காக உற்பத்தி செய்து தரும்படி உமது இறைவனை நீர் பிரார்த்திப்பீராக!"" அதற்கு மூஸா கூறினார்: ""சிறந்த பொருள்களுக்குப் பதிலாக மட்டமான பொருள்களை நீங்கள் விரும்புகிறீர்களா? (அப்படியானால்) நீங்கள் ஏதாவது ஒரு பட்டணத்திற்குச் சென்று (தங்கி) விடுங்கள். நீங்கள் கேட்பவை எல்லாம் உங்களுக்கு அங்கே கிடைக்கும்."" (இறுதியில் அவர்களின் நிலை என்னவாயிற்று என்றால்) இழிவும், தாழ்வும், (வீழ்ச்சியும்) அவர்கள் மீது விதிக்கப்பட்டுவிட்டன. மேலும், அவர்கள் அல்லாஹ்வின் சினத்திற்கும் ஆளாகிவிட்டார்கள். இந்த விளைவு ஏன் ஏற்பட்டதென்றால், அல்லாஹ்வுடைய வசனங்களை அவர்கள் நிராகரித்துக் கொண்டும், நபிமார்களை நியாயமின்றி கொலை செய்து கொண்டும் இருந்தார்கள். இந்த விளைவு ஏற்பட்டதற்குக் காரணம் அவர்கள் அல்லாஹ்வுக்கு மாறு செய்து கொண்டும், (ஷரீஅத்தின்) வரம்பை மீறிக்கொண்டும் இருந்ததுதான்!"
